business_id;name;categories;city;stars;text
b1611;Apex Plumbing;Electricians, Heating & Air Conditioning/HVAC;Madison;4.0;apex plumb electrician heat air
b1364;Bliss Beauty Bar;Skin Care, Day Spas, Waxing;Austin;3.5;bliss beauti bar skin care day spa wax
b1006;Corner Bakery;Juice Bars & Smoothies, Cafes;Madison;4.0;corner bakeri juic bar smoothi cafe
b1498;Pulse Fitness;Active Life, Trainers;Madison;4.0;puls fit activ life trainer
b1116;El Grill;Latin American, Mexican, Restaurants, Tex-Mex;Tampa;4.5;el grill latin american mexican restaur
b1720;Plaza Lodge;Resorts, Bed & Breakfast, Hotels, Hotels & Travel;Columbus;4.5;plaza lodg resort bed breakfast hotel hotel travel
b1306;Tap Saloon;Beer, Pubs, Lounges, Sports Bars;Phoenix;4.5;tap saloon beer pub loung sport bar
b1163;Sol Cocina;Latin American, Restaurants, Burritos, Mexican;Columbus;4.0;sol cocina latin american restaur burrito mexican
b1159;Sol Grill;Mexican, Latin American, Tex-Mex;Tampa;4.5;sol grill mexican latin american
b1016;Urban Bakery;Cafes, Tea Rooms, Breakfast & Brunch, Juice Bars & Smoothies;Columbus;3.5;urban bakeri cafe tea room breakfast brunch juic bar smoothi
b1113;Sol Cocina;Tex-Mex, Restaurants, Tacos;Reno;4.0;sol cocina restaur taco
b1217;Golden Wok;Restaurants, Thai, Japanese;Boulder;4.0;golden wok restaur thai japanes
b1293;Old Saloon;Pubs, Cocktail Bars;Tucson;3.5;old saloon pub cocktail bar
b1729;Park Hotel;Bed & Breakfast, Hotels & Travel, Resorts, Hotels;Phoenix;4.5;park hotel bed breakfast hotel travel resort hotel
b1138;El Cantina;Latin American, Tacos, Burritos, Tex-Mex;Madison;4.5;el cantina latin american taco burrito
b1471;Gentle Health Group;Optometrists, Doctors, Health & Medical;Portland;3.5;gentl health group optometrist doctor health medic
b1668;Paws Pet Care;Pet Stores, Dog Walkers;Columbus;4.5;paw pet care pet store dog walker
b1024;Sunrise Brew House;Donuts, Coffee & Tea;Phoenix;4.0;sunris brew hous donut coffe tea
b1655;Reliable Electric;Electricians, Plumbing, Roofing;Boulder;4.0;reliabl electr electrician plumb roof
b1574;Market Grocery;Shopping, Organic Stores, Specialty Food, Convenience Stores;Tampa;4.0;market groceri shop organ store specialti food conveni store
b1449;Advanced Dentistry;Health & Medical, Optometrists, Chiropractors;Boulder;4.5;advanc dentistri health medic optometrist chiropractor
b1036;Bean Roasters;Bakeries, Cafes, Breakfast & Brunch, Tea Rooms;Tucson;3.5;bean roaster bakeri cafe breakfast brunch tea room
b1552;Fresh Market;Convenience Stores, Organic Stores, Grocery, Specialty Food;Columbus;4.5;fresh market conveni store organ store groceri specialti food
b1319;Hop Lounge;Cocktail Bars, Beer;Tucson;5.0;hop loung cocktail bar beer
b1292;Old Saloon;Bars, Lounges, Breweries, Cocktail Bars;Portland;3.5;old saloon bar loung breweri cocktail bar
b1493;Lakeside Family Clinic;Optometrists, Physical Therapy;Boulder;3.0;lakesid famili clinic optometrist physic therapi
b1381;Pure Hair Studio;Hair Salons, Skin Care, Beauty & Spas, Nail Salons;Tampa;5.0;pure hair studio hair salon skin care beauti spa nail salon
b1030;Daily Cafe;Donuts, Cafes, Juice Bars & Smoothies;Phoenix;4.0;daili cafe donut cafe juic bar smoothi
b1066;Rustic Pizza;Restaurants, Calzones;Madison;4.0;rustic pizza restaur calzon
b1309;Iron Tavern;Breweries, Pubs;Reno;3.0;iron tavern breweri pub
b1607;Trusted Plumbing;Electricians, Contractors, Plumbing;Austin;4.5;trust plumb electrician contractor plumb
b1032;Bean Roasters;Tea Rooms, Bakeries;Reno;4.5;bean roaster tea room bakeri
b1641;All Heating & Cooling;Electricians, Plumbing;Austin;4.0;heat cool electrician plumb
b1239;Hungry Burger Joint;Sandwiches, Hot Dogs, Restaurants, American (Traditional);Tucson;4.5;hungri burger joint sandwich hot dog restaur american tradit
b1695;Cozy Pet Grooming;Veterinarians, Pet Groomers, Animal Shelters;Tampa;3.0;cozi pet groom veterinarian pet groomer anim shelter
b1411;Highway Tire Center;Oil Change Stations, Body Shops, Automotive, Tires;Tampa;3.0;highway tire center oil chang station bodi shop automot tire
b1754;Plaza Suites;Event Planning & Services, Hotels & Travel, Hotels;Madison;4.0;plaza suit event plan servic hotel travel hotel
b1448;Advanced Health Group;Doctors, Chiropractors;Phoenix;5.0;advanc health group doctor chiropractor
b1088;Rustic Trattoria;Calzones, Restaurants, Pizza;Austin;5.0;rustic trattoria calzon restaur pizza
b1598;Market Pantry;Grocery, Organic Stores;Portland;4.5;market pantri groceri organ store
b1345;Luxe Hair Studio;Hair Salons, Beauty & Spas;Tampa;4.5;lux hair studio hair salon beauti spa
b1762;Garden Suites;Resorts, Event Planning & Services, Bed & Breakfast;Boulder;3.0;garden suit resort event plan servic bed breakfast
b1530;Flow Fitness;Fitness & Instruction, Trainers;Nashville;4.0;flow fit fit instruct trainer
b1215;Lucky Wok;Noodles, Asian Fusion;Boulder;5.0;lucki wok noodl asian fusion
b1233;Classic Burgers;Burgers, Fries, Fast Food;Portland;3.5;classic burger burger fri fast food
b1078;Famous Pizza;Italian, Wine Bars, Calzones;Reno;3.5;famou pizza italian wine bar calzon
b1403;Precision Car Wash;Auto Parts, Automotive;Tampa;4.0;precis car wash auto part automot
b1044;Bean Cafe;Donuts, Cafes, Juice Bars & Smoothies, Tea Rooms;Austin;4.5;bean cafe donut cafe juic bar smoothi tea room
b1028;Bean Cafe;Donuts, Tea Rooms;Phoenix;3.0;bean cafe donut tea room
b1038;Corner Bakery;Tea Rooms, Juice Bars & Smoothies;Boulder;3.0;corner bakeri tea room juic bar smoothi
b1173;Lucky Ramen;Japanese, Asian Fusion, Ramen;Columbus;5.0;lucki ramen japanes asian fusion ramen
b1363;Radiant Nails;Hair Salons, Day Spas;Portland;5.0;radiant nail hair salon day spa
b1438;Quick Auto Body;Automotive, Car Wash, Auto Repair;Madison;4.5;quick auto bodi automot car wash auto repair
b1322;Copper Saloon;Pubs, Sports Bars, Lounges;Tampa;4.0;copper saloon pub sport bar loung
b1047;Morning Beans;Breakfast & Brunch, Juice Bars & Smoothies, Bakeries, Tea Rooms;Tucson;4.0;morn bean breakfast brunch juic bar smoothi bakeri tea room
b1768;Park Suites;Bed & Breakfast, Hotels & Travel;Austin;4.0;park suit bed breakfast hotel travel
b1462;Modern Medical Center;Dentists, Doctors;Phoenix;4.0;modern medic center dentist doctor
b1442;Modern Medical Center;Physical Therapy, Optometrists, Health & Medical;Columbus;4.5;modern medic center physic therapi optometrist health medic
b1156;Sol Cocina;Restaurants, Burritos;Boulder;4.0;sol cocina restaur burrito
b1201;Jade Dragon;Japanese, Ramen, Noodles, Sushi Bars;Phoenix;5.0;jade dragon japanes ramen noodl sushi bar
b1103;Rustic Pizza;Pasta, Calzones;Madison;4.0;rustic pizza pasta calzon
b1098;Rustic Pizza;Pizza, Wine Bars, Pasta, Restaurants;Tucson;5.0;rustic pizza pizza wine bar pasta restaur
b1531;Summit Gym;Pilates, Yoga;Madison;4.5;summit gym pilat yoga
b1677;Happy Pet Care;Pet Stores, Animal Shelters, Veterinarians;Phoenix;4.5;happi pet care pet store anim shelter veterinarian
b1584;Daily Market;Convenience Stores, Specialty Food, Shopping, Grocery;Phoenix;4.0;daili market conveni store specialti food shop groceri
b1638;Premier Electric;Roofing, Electricians;Tucson;3.0;premier electr roof electrician
b1609;Guardian Plumbing;Electricians, Plumbing;Tampa;4.5;guardian plumb electrician plumb
b1501;Elevate Yoga Studio;Pilates, Gyms, Active Life, Cycling Classes;Tucson;3.5;elev yoga studio pilat gym activ life cycl class
b1059;Little Italian Kitchen;Italian, Pasta, Wine Bars, Calzones;Tampa;4.5;littl italian kitchen italian pasta wine bar calzon
b1180;Golden Kitchen;Chinese, Noodles, Ramen, Asian Fusion;Boulder;4.5;golden kitchen chines noodl ramen asian fusion
b1499;Core Yoga Studio;Gyms, Trainers, Pilates, Fitness & Instruction;Phoenix;4.0;core yoga studio gym trainer pilat fit instruct
b1573;Harvest Grocery;Farmers Market, Shopping;Phoenix;4.5;harvest groceri farmer market shop
b1515;Core Wellness;Cycling Classes, Active Life, Yoga, Fitness & Instruction;Tucson;5.0;core well cycl class activ life yoga fit instruct
b1738;Garden Suites;Event Planning & Services, Hotels & Travel, Bed & Breakfast, Resorts;Tampa;4.0;garden suit event plan servic hotel travel bed breakfast resort
b1472;Bright Chiropractic;Health & Medical, Optometrists, Chiropractors;Madison;5.0;bright chiropract health medic optometrist chiropractor
b1721;Grand Inn;Resorts, Bed & Breakfast, Hotels, Hotels & Travel;Nashville;3.0;grand inn resort bed breakfast hotel hotel travel
b1709;Cozy Pet Shop;Animal Shelters, Pet Stores;Columbus;4.0;cozi pet shop anim shelter pet store
b1550;Summit Fitness;Fitness & Instruction, Active Life, Cycling Classes;Tucson;3.0;summit fit fit instruct activ life cycl class
b1018;Daily Roasters;Juice Bars & Smoothies, Donuts;Phoenix;3.0;daili roaster juic bar smoothi donut
b1395;Pro Motors;Auto Parts, Body Shops;Columbus;3.0;pro motor auto part bodi shop
b1617;Apex HVAC;Plumbing, Heating & Air Conditioning/HVAC, Contractors;Tucson;4.0;apex hvac plumb heat air contractor
b1158;Fiesta Cantina;Tacos, Latin American;Tampa;3.5;fiesta cantina taco latin american
b1071;Mama Pizza;Pizza, Italian, Restaurants, Wine Bars;Madison;4.5;mama pizza pizza italian restaur wine bar
b1312;Iron Brewery;Cocktail Bars, Lounges;Portland;4.0;iron breweri cocktail bar loung
b1053;Urban Coffee;Cafes, Tea Rooms, Bakeries;Boulder;4.0;urban coffe cafe tea room bakeri
b1728;Park Inn;Bed & Breakfast, Resorts, Hotels, Hotels & Travel;Phoenix;4.0;park inn bed breakfast resort hotel hotel travel
b1551;Fresh Provisions;Farmers Market, Specialty Food;Phoenix;3.5;fresh provis farmer market specialti food
b1318;Copper Saloon;Nightlife, Pubs;Austin;5.0;copper saloon nightlif pub
b1253;Smash Grill;Restaurants, American (Traditional), Fast Food;Phoenix;4.5;smash grill restaur american tradit fast food
b1704;Cozy Pet Shop;Animal Shelters, Pet Stores;Portland;4.5;cozi pet shop anim shelter pet store
b1065;Nonna Trattoria;Italian, Restaurants;Tucson;4.0;nonna trattoria italian restaur
b1394;All-Star Tire Center;Tires, Automotive, Oil Change Stations, Auto Repair;Reno;4.5;tire center tire automot oil chang station auto repair
b1427;Pro Tire Center;Oil Change Stations, Car Wash;Tampa;3.0;pro tire center oil chang station car wash
b1185;Red Sushi;Thai, Chinese;Austin;3.0;red sushi thai chines
b1440;Highway Car Wash;Oil Change Stations, Body Shops, Auto Repair;Nashville;4.0;highway car wash oil chang station bodi shop auto repair
b1686;Wag Veterinary Clinic;Veterinarians, Animal Shelters;Madison;5.0;wag veterinari clinic veterinarian anim shelter
b1475;Bright Family Clinic;Doctors, Chiropractors, Optometrists;Portland;4.0;bright famili clinic doctor chiropractor optometrist
b1512;Peak Yoga Studio;Pilates, Gyms, Cycling Classes, Active Life;Portland;3.0;peak yoga studio pilat gym cycl class activ life
b1765;Park Suites;Hotels & Travel, Resorts, Bed & Breakfast;Phoenix;4.5;park suit hotel travel resort bed breakfast
b1254;Route Sandwich Shop;Restaurants, Sandwiches, Fast Food, Fries;Nashville;4.5;rout sandwich shop restaur sandwich fast food fri
b1301;Iron Alehouse;Cocktail Bars, Pubs;Reno;5.0;iron alehous cocktail bar pub
b1139;La Cantina;Tex-Mex, Restaurants;Phoenix;4.5;la cantina restaur
b1174;Lucky Bistro;Chinese, Ramen, Sushi Bars, Asian Fusion;Boulder;4.5;lucki bistro chines ramen sushi bar asian fusion
b1037;Cozy Beans;Breakfast & Brunch, Donuts;Phoenix;3.0;cozi bean breakfast brunch donut
b1748;Heritage Suites;Hotels, Resorts, Hotels & Travel;Boulder;4.5;heritag suit hotel resort hotel travel
b1454;Family Dentistry;Physical Therapy, Health & Medical, Chiropractors;Tucson;3.0;famili dentistri physic therapi health medic chiropractor
b1445;Lakeside Health Group;Optometrists, Health & Medical, Doctors;Madison;4.0;lakesid health group optometrist health medic doctor
b1082;Original Trattoria;Restaurants, Wine Bars;Phoenix;3.5;origin trattoria restaur wine bar
b1289;Old Cocktail Bar;Bars, Lounges;Reno;3.5;old cocktail bar bar loung
b1629;Trusted Electric;Roofing, Home Services, Heating & Air Conditioning/HVAC, Contractors;Columbus;3.5;trust electr roof home servic heat air contractor
b1599;Harvest Market;Shopping, Organic Stores;Madison;3.5;harvest market shop organ store
b1379;Polished Spa;Barbers, Nail Salons;Reno;4.5;polish spa barber nail salon
b1057;Nonna Pizzeria;Pasta, Calzones, Wine Bars;Tucson;5.0;nonna pizzeria pasta calzon wine bar
b1654;Hometown Heating & Cooling;Contractors, Plumbing, Heating & Air Conditioning/HVAC;Madison;3.0;hometown heat cool contractor plumb heat air
b1296;Copper Saloon;Breweries, Nightlife, Pubs, Sports Bars;Tampa;4.5;copper saloon breweri nightlif pub sport bar
b1743;Grand Inn;Resorts, Event Planning & Services, Hotels & Travel;Austin;5.0;grand inn resort event plan servic hotel travel
b1415;Highway Auto Repair;Automotive, Oil Change Stations, Auto Repair, Auto Parts;Tampa;5.0;highway auto repair automot oil chang station auto repair auto part
b1093;Original Pizza;Calzones, Wine Bars, Italian, Restaurants;Reno;3.0;origin pizza calzon wine bar italian restaur
b1274;Downtown Sandwich Shop;Fries, Restaurants;Tampa;4.5;downtown sandwich shop fri restaur
b1458;Lakeside Health Group;Dentists, Physical Therapy;Tampa;3.0;lakesid health group dentist physic therapi
b1430;All-Star Auto Body;Tires, Auto Repair, Car Wash;Tampa;4.0;auto bodi tire auto repair car wash
b1627;Apex Electric;Roofing, Contractors;Columbus;4.0;apex electr roof contractor
b1105;Nonna Pizza;Calzones, Restaurants, Pasta;Nashville;4.0;nonna pizza calzon restaur pasta
b1287;Iron Lounge;Lounges, Beer, Pubs, Nightlife;Tampa;4.0;iron loung loung beer pub nightlif
b1303;Iron Pub;Bars, Breweries, Beer;Columbus;4.0;iron pub bar breweri beer
b1167;Golden Kitchen;Restaurants, Noodles, Thai, Ramen;Reno;3.5;golden kitchen restaur noodl thai ramen
b1756;Garden Hotel;Bed & Breakfast, Hotels & Travel;Boulder;4.0;garden hotel bed breakfast hotel travel
b1192;Sakura Sushi;Sushi Bars, Noodles, Ramen;Phoenix;4.0;sakura sushi sushi bar noodl ramen
b1612;Hometown Home Services;Home Services, Roofing, Contractors;Madison;3.0;hometown home servic home servic roof contractor
b1141;Agave Cocina;Restaurants, Latin American, Burritos, Tacos;Nashville;4.0;agav cocina restaur latin american burrito taco
b1040;Daily Espresso;Juice Bars & Smoothies, Breakfast & Brunch;Portland;3.0;daili espresso juic bar smoothi breakfast brunch
b1702;Whiskers Pet Care;Pets, Animal Shelters, Pet Stores, Veterinarians;Tampa;4.5;whisker pet care pet anim shelter pet store veterinarian
b1164;Taco Burrito Bar;Burritos, Latin American, Tacos, Restaurants;Tampa;4.0;taco burrito bar burrito latin american taco restaur
b1337;Polished Nails;Hair Salons, Day Spas;Austin;4.5;polish nail hair salon day spa
b1170;Jade Bistro;Sushi Bars, Thai;Tampa;4.0;jade bistro sushi bar thai
b1549;Peak Gym;Gyms, Fitness & Instruction;Portland;4.5;peak gym gym fit instruct
b1707;Whiskers Veterinary Clinic;Pets, Veterinarians;Reno;4.5;whisker veterinari clinic pet veterinarian
b1719;Plaza Bed & Breakfast;Bed & Breakfast, Hotels;Portland;4.0;plaza bed breakfast bed breakfast hotel
b1252;Route Eatery;Restaurants, Burgers, Hot Dogs, Sandwiches;Tampa;5.0;rout eateri restaur burger hot dog sandwich
b1576;Nature Pantry;Specialty Food, Grocery, Organic Stores;Reno;3.0;natur pantri specialti food groceri organ store
b1525;Elevate Wellness;Fitness & Instruction, Gyms;Tucson;5.0;elev well fit instruct gym
b1559;Fresh Grocery;Farmers Market, Grocery, Organic Stores, Convenience Stores;Madison;3.0;fresh groceri farmer market groceri organ store conveni store
b1315;Old Lounge;Lounges, Sports Bars, Breweries, Beer;Phoenix;4.5;old loung loung sport bar breweri beer
b1758;Lakeview Hotel;Hotels & Travel, Bed & Breakfast;Madison;4.5;lakeview hotel hotel travel bed breakfast
b1407;Pro Auto Body;Auto Parts, Body Shops, Auto Repair, Car Wash;Boulder;4.5;pro auto bodi auto part bodi shop auto repair car wash
b1749;Lakeview Inn;Hotels & Travel, Event Planning & Services, Hotels;Columbus;4.0;lakeview inn hotel travel event plan servic hotel
b1435;Highway Tire Center;Automotive, Car Wash, Auto Parts;Tampa;3.0;highway tire center automot car wash auto part
b1593;Daily Grocery;Grocery, Farmers Market, Specialty Food;Austin;5.0;daili groceri groceri farmer market specialti food
b1015;Cozy Beans;Cafes, Coffee & Tea;Phoenix;4.5;cozi bean cafe coffe tea
b1313;Iron Brewery;Breweries, Cocktail Bars;Tucson;4.5;iron breweri breweri cocktail bar
b1311;Copper Lounge;Pubs, Nightlife, Cocktail Bars, Lounges;Nashville;5.0;copper loung pub nightlif cocktail bar loung
b1070;Mama Pizzeria;Pizza, Pasta, Wine Bars, Calzones;Reno;4.5;mama pizzeria pizza pasta wine bar calzon
b1333;Luxe Spa;Barbers, Waxing, Beauty & Spas, Hair Salons;Boulder;4.0;lux spa barber wax beauti spa hair salon
b1362;Polished Nails;Nail Salons, Barbers;Reno;4.0;polish nail nail salon barber
b1457;Gentle Chiropractic;Optometrists, Dentists, Doctors, Chiropractors;Reno;5.0;gentl chiropract optometrist dentist doctor chiropractor
b1537;Summit Fitness;Pilates, Cycling Classes, Fitness & Instruction;Portland;4.5;summit fit pilat cycl class fit instruct
b1623;Reliable HVAC;Electricians, Heating & Air Conditioning/HVAC, Plumbing, Roofing;Phoenix;3.5;reliabl hvac electrician heat air plumb roof
b1371;Polished Salon;Beauty & Spas, Hair Salons, Day Spas, Waxing;Tampa;5.0;polish salon beauti spa hair salon day spa wax
b1130;La Cocina;Mexican, Tacos, Burritos, Restaurants;Reno;4.5;la cocina mexican taco burrito restaur
b1213;Lucky Dragon;Asian Fusion, Ramen, Restaurants, Sushi Bars;Tucson;3.5;lucki dragon asian fusion ramen restaur sushi bar
b1657;Reliable Electric;Roofing, Heating & Air Conditioning/HVAC, Contractors;Portland;4.0;reliabl electr roof heat air contractor
b1604;Nature Foods;Convenience Stores, Specialty Food, Farmers Market;Phoenix;4.5;natur food conveni store specialti food farmer market
b1739;Park Hotel;Event Planning & Services, Resorts, Bed & Breakfast, Hotels;Portland;4.0;park hotel event plan servic resort bed breakfast hotel
b1153;Taco Cocina;Mexican, Restaurants, Latin American, Burritos;Phoenix;5.0;taco cocina mexican restaur latin american burrito
b1307;Old Lounge;Sports Bars, Pubs;Boulder;3.5;old loung sport bar pub
b1321;Blue Cocktail Bar;Lounges, Bars, Nightlife, Cocktail Bars;Boulder;3.0;blue cocktail bar loung bar nightlif cocktail bar
b1510;Summit Yoga Studio;Gyms, Fitness & Instruction, Trainers;Austin;3.0;summit yoga studio gym fit instruct trainer
b1428;Pro Garage;Auto Parts, Tires, Automotive, Auto Repair;Tucson;3.0;pro garag auto part tire automot auto repair
b1157;Agave Tacos;Mexican, Restaurants, Burritos, Latin American;Madison;3.0;agav taco mexican restaur burrito latin american
b1378;Serene Nails;Beauty & Spas, Nail Salons, Barbers, Waxing;Tampa;4.5;seren nail beauti spa nail salon barber wax
b1585;Fresh Grocery;Specialty Food, Convenience Stores, Organic Stores, Grocery;Columbus;4.0;fresh groceri specialti food conveni store organ store groceri
b1172;Red Sushi;Chinese, Thai, Asian Fusion, Restaurants;Nashville;4.0;red sushi chines thai asian fusion restaur
b1085;Little Ristorante;Restaurants, Calzones, Pasta;Phoenix;5.0;littl ristorant restaur calzon pasta
b1464;Advanced Medical Center;Health & Medical, Dentists, Doctors;Tucson;3.0;advanc medic center health medic dentist doctor
b1402;Express Tire Center;Auto Parts, Auto Repair, Tires;Tampa;5.0;express tire center auto part auto repair tire
b1744;Park Inn;Hotels & Travel, Resorts;Boulder;4.5;park inn hotel travel resort
b1588;Fresh Provisions;Farmers Market, Shopping, Convenience Stores, Specialty Food;Austin;4.5;fresh provis farmer market shop conveni store specialti food
b1019;Corner Brew House;Cafes, Breakfast & Brunch, Bakeries;Madison;3.5;corner brew hous cafe breakfast brunch bakeri
b1178;Bamboo Noodle House;Thai, Restaurants, Ramen;Austin;5.0;bamboo noodl hous thai restaur ramen
b1563;Fresh Provisions;Convenience Stores, Organic Stores, Specialty Food, Grocery;Portland;4.0;fresh provis conveni store organ store specialti food groceri
b1102;Bella Pizza;Restaurants, Calzones, Pasta, Italian;Boulder;3.0;bella pizza restaur calzon pasta italian
b1343;Serene Barbershop;Day Spas, Skin Care;Reno;3.0;seren barbershop day spa skin care
b1441;Advanced Health Group;Health & Medical, Dentists, Doctors;Austin;4.0;advanc health group health medic dentist doctor
b1124;Sol Cocina;Tacos, Burritos, Latin American, Mexican;Phoenix;4.5;sol cocina taco burrito latin american mexican
b1316;Blue Tavern;Sports Bars, Beer, Breweries, Lounges;Reno;4.0;blue tavern sport bar beer breweri loung
b1476;Family Chiropractic;Optometrists, Physical Therapy;Boulder;5.0;famili chiropract optometrist physic therapi
b1711;Paws Pet Grooming;Pet Groomers, Pets, Veterinarians;Austin;3.5;paw pet groom pet groomer pet veterinarian
b1703;Cozy Veterinary Clinic;Animal Shelters, Pet Stores;Columbus;3.5;cozi veterinari clinic anim shelter pet store
b1344;Luxe Salon;Hair Salons, Waxing, Beauty & Spas, Nail Salons;Tucson;4.5;lux salon hair salon wax beauti spa nail salon
b1377;Bliss Beauty Bar;Barbers, Waxing, Skin Care, Nail Salons;Madison;5.0;bliss beauti bar barber wax skin care nail salon
b1596;Harvest Mart;Shopping, Specialty Food, Farmers Market, Convenience Stores;Boulder;5.0;harvest mart shop specialti food farmer market conveni store
b1184;Tokyo Wok;Sushi Bars, Thai;Phoenix;5.0;tokyo wok sushi bar thai
b1372;Bliss Salon;Day Spas, Waxing;Reno;3.0;bliss salon day spa wax
b1643;Premier Home Services;Plumbing, Home Services;Tampa;4.0;premier home servic plumb home servic
b1746;Royal Lodge;Event Planning & Services, Hotels & Travel, Hotels;Columbus;4.0;royal lodg event plan servic hotel travel hotel
b1529;Core Crossfit;Pilates, Cycling Classes;Tampa;4.5;core crossfit pilat cycl class
b1446;Family Chiropractic;Health & Medical, Doctors, Physical Therapy, Optometrists;Columbus;4.0;famili chiropract health medic doctor physic therapi optometrist
b1424;Quick Auto Repair;Body Shops, Automotive;Tucson;4.0;quick auto repair bodi shop automot
b1685;Loyal Veterinary Clinic;Dog Walkers, Pet Groomers, Pet Stores, Animal Shelters;Columbus;3.5;loyal veterinari clinic dog walker pet groomer pet store anim shelter
b1297;Old Brewery;Cocktail Bars, Lounges;Phoenix;4.0;old breweri cocktail bar loung
b1608;Trusted Electric;Plumbing, Contractors, Heating & Air Conditioning/HVAC;Boulder;4.0;trust electr plumb contractor heat air
b1216;Sakura Ramen;Chinese, Ramen;Madison;4.0;sakura ramen chines ramen
b1533;Iron Training Lab;Yoga, Pilates, Trainers, Cycling Classes;Austin;4.0;iron train lab yoga pilat trainer cycl class
