model,rank,business_id,cosine,semantic_1_5,business
word2vec_stemmed_cbow_win2_dim100,1,b1021,0.9997,4,"Urban Cafe - Tea Rooms, Cafes (Madison)"
word2vec_stemmed_cbow_win2_dim100,2,b1014,0.9995,4,"Corner Cafe - Tea Rooms, Cafes, Bakeries, Donuts (Tucson)"
word2vec_stemmed_cbow_win2_dim100,3,b1026,0.9995,3,"Roasted Espresso - Coffee & Tea, Tea Rooms (Boulder)"
word2vec_stemmed_cbow_win2_dim100,4,b1011,0.9994,3,"Urban Espresso - Coffee & Tea, Cafes (Phoenix)"
word2vec_stemmed_cbow_win2_dim100,5,b1053,0.9994,4,"Urban Coffee - Cafes, Tea Rooms, Bakeries (Boulder)"
word2vec_stemmed_skipgram_win2_dim100,1,b1011,0.9993,3,"Urban Espresso - Coffee & Tea, Cafes (Phoenix)"
word2vec_stemmed_skipgram_win2_dim100,2,b1026,0.9991,3,"Roasted Espresso - Coffee & Tea, Tea Rooms (Boulder)"
word2vec_stemmed_skipgram_win2_dim100,3,b1021,0.999,4,"Urban Cafe - Tea Rooms, Cafes (Madison)"
word2vec_stemmed_skipgram_win2_dim100,4,b1014,0.9988,4,"Corner Cafe - Tea Rooms, Cafes, Bakeries, Donuts (Tucson)"
word2vec_stemmed_skipgram_win2_dim100,5,b1053,0.9987,4,"Urban Coffee - Cafes, Tea Rooms, Bakeries (Boulder)"
word2vec_stemmed_cbow_win4_dim100,1,b1014,0.9996,4,"Corner Cafe - Tea Rooms, Cafes, Bakeries, Donuts (Tucson)"
word2vec_stemmed_cbow_win4_dim100,2,b1021,0.9994,4,"Urban Cafe - Tea Rooms, Cafes (Madison)"
word2vec_stemmed_cbow_win4_dim100,3,b1053,0.9993,4,"Urban Coffee - Cafes, Tea Rooms, Bakeries (Boulder)"
word2vec_stemmed_cbow_win4_dim100,4,b1026,0.9993,3,"Roasted Espresso - Coffee & Tea, Tea Rooms (Boulder)"
word2vec_stemmed_cbow_win4_dim100,5,b1011,0.999,3,"Urban Espresso - Coffee & Tea, Cafes (Phoenix)"
word2vec_stemmed_skipgram_win4_dim100,1,b1026,0.9993,3,"Roasted Espresso - Coffee & Tea, Tea Rooms (Boulder)"
word2vec_stemmed_skipgram_win4_dim100,2,b1014,0.9992,4,"Corner Cafe - Tea Rooms, Cafes, Bakeries, Donuts (Tucson)"
word2vec_stemmed_skipgram_win4_dim100,3,b1053,0.9986,4,"Urban Coffee - Cafes, Tea Rooms, Bakeries (Boulder)"
word2vec_stemmed_skipgram_win4_dim100,4,b1021,0.9984,4,"Urban Cafe - Tea Rooms, Cafes (Madison)"
word2vec_stemmed_skipgram_win4_dim100,5,b1011,0.9982,3,"Urban Espresso - Coffee & Tea, Cafes (Phoenix)"
word2vec_stemmed_cbow_win2_dim300,1,b1021,0.9998,4,"Urban Cafe - Tea Rooms, Cafes (Madison)"
word2vec_stemmed_cbow_win2_dim300,2,b1014,0.9996,4,"Corner Cafe - Tea Rooms, Cafes, Bakeries, Donuts (Tucson)"
word2vec_stemmed_cbow_win2_dim300,3,b1026,0.9996,3,"Roasted Espresso - Coffee & Tea, Tea Rooms (Boulder)"
word2vec_stemmed_cbow_win2_dim300,4,b1011,0.9996,3,"Urban Espresso - Coffee & Tea, Cafes (Phoenix)"
word2vec_stemmed_cbow_win2_dim300,5,b1053,0.9995,4,"Urban Coffee - Cafes, Tea Rooms, Bakeries (Boulder)"
word2vec_stemmed_skipgram_win2_dim300,1,b1011,0.9993,3,"Urban Espresso - Coffee & Tea, Cafes (Phoenix)"
word2vec_stemmed_skipgram_win2_dim300,2,b1026,0.9993,3,"Roasted Espresso - Coffee & Tea, Tea Rooms (Boulder)"
word2vec_stemmed_skipgram_win2_dim300,3,b1021,0.9991,4,"Urban Cafe - Tea Rooms, Cafes (Madison)"
word2vec_stemmed_skipgram_win2_dim300,4,b1014,0.9989,4,"Corner Cafe - Tea Rooms, Cafes, Bakeries, Donuts (Tucson)"
word2vec_stemmed_skipgram_win2_dim300,5,b1053,0.9988,4,"Urban Coffee - Cafes, Tea Rooms, Bakeries (Boulder)"
word2vec_stemmed_cbow_win4_dim300,1,b1014,0.9997,4,"Corner Cafe - Tea Rooms, Cafes, Bakeries, Donuts (Tucson)"
word2vec_stemmed_cbow_win4_dim300,2,b1021,0.9995,4,"Urban Cafe - Tea Rooms, Cafes (Madison)"
word2vec_stemmed_cbow_win4_dim300,3,b1053,0.9994,4,"Urban Coffee - Cafes, Tea Rooms, Bakeries (Boulder)"
word2vec_stemmed_cbow_win4_dim300,4,b1026,0.9993,3,"Roasted Espresso - Coffee & Tea, Tea Rooms (Boulder)"
word2vec_stemmed_cbow_win4_dim300,5,b1011,0.9992,3,"Urban Espresso - Coffee & Tea, Cafes (Phoenix)"
word2vec_stemmed_skipgram_win4_dim300,1,b1026,0.9994,3,"Roasted Espresso - Coffee & Tea, Tea Rooms (Boulder)"
word2vec_stemmed_skipgram_win4_dim300,2,b1014,0.9993,4,"Corner Cafe - Tea Rooms, Cafes, Bakeries, Donuts (Tucson)"
word2vec_stemmed_skipgram_win4_dim300,3,b1053,0.9988,4,"Urban Coffee - Cafes, Tea Rooms, Bakeries (Boulder)"
word2vec_stemmed_skipgram_win4_dim300,4,b1021,0.9985,4,"Urban Cafe - Tea Rooms, Cafes (Madison)"
word2vec_stemmed_skipgram_win4_dim300,5,b1011,0.9983,3,"Urban Espresso - Coffee & Tea, Cafes (Phoenix)"
